,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Ushuaia,75,AR,1553882400,62,-54.81,-68.31,286.15,16.5
1,Carupano,32,VE,1553886529,78,10.67,-63.26,300.417,5.26
2,Ilulissat,75,GL,1553881800,48,69.22,-51.1,266.15,4.1
3,Iqaluit,90,CA,1553886122,79,63.75,-68.52,268.15,7.2
4,Rikitea,92,PF,1553886533,100,-23.12,-134.97,298.217,4.76
5,Hilo,1,US,1553886510,60,19.71,-155.08,298.15,1.5
6,Putai,0,FR,1553886044,50,46.66,1.99,286.15,3.1
7,Mar del Plata,64,AR,1553886409,42,-46.43,-67.52,294.817,11.66
8,Albany,90,US,1553886303,81,42.65,-73.75,283.15,2.1
9,Saint-Pierre,0,FR,1553886424,66,48.95,4.24,286.15,4.1
10,Cururupu,80,BR,1553886541,96,-1.82,-44.87,300.467,2.76
11,Klaksvik,68,FO,1553883600,60,62.23,-6.59,278.15,7.2
12,Roebourne,48,AU,1553886544,71,-20.77,117.15,298.817,2.36
13,Cabo San Lucas,5,MX,1553886335,26,22.89,-109.91,304.26,4.6
14,Batagay,20,RU,1553886547,40,67.65,134.64,248.067,1.26
15,Xichang,0,CN,1553886548,72,27.88,102.25,279.067,0.61
16,Tiarei,75,PF,1553886143,66,-17.53,-149.33,303.15,1.5
17,Bubaque,0,GW,1553886550,73,11.28,-15.83,304.617,4.96
18,Georgetown,90,GY,1553882400,88,6.8,-58.16,304.15,6.2
19,Dejen,12,ET,1553886554,67,10.16,38.15,290.217,0.46
20,Chokurdakh,80,RU,1553886555,79,70.62,147.9,264.017,4.66
21,Bridlington,68,GB,1553886325,47,54.08,-0.19,288.15,2.1
22,Port Alfred,0,ZA,1553886557,90,-33.59,26.89,294.317,4.81
23,Lavra,0,PT,1553886425,59,41.26,-8.72,291.48,1.0
24,Carnarvon,0,ZA,1553886560,14,-30.97,22.13,292.817,3.41
25,Yulara,0,AU,1553882400,42,-25.24,130.99,291.15,4.6
26,Barnstaple,68,GB,1553886543,87,51.08,-4.06,283.15,2.6
27,Cidreira,24,BR,1553886564,71,-30.17,-50.22,298.617,7.81
28,Mataura,0,NZ,1553886007,96,-46.19,168.86,282.04,1.21
29,Upernavik,0,GL,1553886551,100,72.79,-56.15,262.667,3.66
30,Iskateley,92,RU,1553886568,90,67.68,53.15,272.817,11.76
31,Mount Isa,0,AU,1553884200,94,-20.73,139.49,296.15,3.1
32,Turukhansk,92,RU,1553886571,92,65.8,87.96,273.067,7.31
33,Kavaratti,0,IN,1553886572,100,10.57,72.64,302.067,4.26
34,Chaihe,0,CN,1553886573,69,44.77,129.68,259.917,1.11
35,Atuona,0,PF,1553886575,100,-9.8,-139.03,300.967,5.66
36,Yellowknife,90,CA,1553886451,68,62.45,-114.38,271.48,3.6
37,Fairbanks,90,US,1553886426,97,64.84,-147.72,274.26,2.1
38,Hasaki,75,JP,1553886138,81,35.73,140.83,280.37,4.1
39,Antofagasta,75,CL,1553882400,68,-23.65,-70.4,293.15,8.2
40,Areado,75,BR,1553882400,73,-21.36,-46.15,296.15,1.5
41,Kapaa,40,US,1553886497,68,22.08,-159.32,295.15,1.5
42,Vaini,0,IN,1553886584,87,15.34,74.49,295.717,1.46
43,Bilma,0,NE,1553886585,17,18.69,12.92,301.317,2.06
44,Hami,36,CN,1553886587,46,42.84,93.51,281.667,4.21
